crop,season,concern,count
Soybean (bhat),Rabi,Market & Price Information,18843
Onion,Rabi,"Pest, Disease & Weed Mgmt",54590
Other Named Crops,Rabi,Cultural Practices & Mechanization,18304
Other Named Crops,Rabi,"Pest, Disease & Weed Mgmt",87001
Onion,Rabi,Nutrient & Soil Management,31090
Other Named Crops,Rabi,Market & Price Information,16396
Onion,Rabi,Market & Price Information,20909
Cotton (Kapas),Rabi,Market & Price Information,46704
Turmeric,Rabi,Market & Price Information,3224
Sugarcane (Noble Cane),Rabi,"Pest, Disease & Weed Mgmt",22599
Cotton (Kapas),Kharif,Water Management/Irrigation,3636
Other Named Crops,Kharif,Seeds & Varieties,16830
Soybean (bhat),Kharif,Seeds & Varieties,9175
Soybean (bhat),Kharif,Market & Price Information,8581
Cotton (Kapas),Kharif,"Pest, Disease & Weed Mgmt",173115
Pigeon pea (red gram/arhar/tur),Kharif,Seeds & Varieties,2655
Cotton (Kapas),Kharif,Seeds & Varieties,12252
Maize (Makka),Kharif,Seeds & Varieties,2928
Turmeric,Kharif,Market & Price Information,2033
Sugarcane (Noble Cane),Rabi,Nutrient & Soil Management,26372
Other Named Crops,Rabi,Nutrient & Soil Management,45087
Other Named Crops,Rabi,Seeds & Varieties,31765
Chillies,Rabi,"Pest, Disease & Weed Mgmt",21477
Tomato,Rabi,Nutrient & Soil Management,3602
Sorghum (Jowar/Great Millet),Rabi,Water Management/Irrigation,333
Chillies,Rabi,Nutrient & Soil Management,3998
Bhindi(Okra/Ladysfinger),Rabi,Nutrient & Soil Management,2901
Pomegranate,Rabi,"Pest, Disease & Weed Mgmt",16038
Bhindi(Okra/Ladysfinger),Rabi,Market & Price Information,438
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,Market & Price Information,7305
Sorghum (Jowar/Great Millet),Rabi,"Pest, Disease & Weed Mgmt",10475
Groundnut (pea nut/mung phalli),Rabi,"Pest, Disease & Weed Mgmt",11130
Brinjal,Rabi,"Pest, Disease & Weed Mgmt",25708
Cotton (Kapas),Rabi,Cultural Practices & Mechanization,3050
Onion,Rabi,Weather & Climate Advisory,759
Onion,Rabi,Cultural Practices & Mechanization,4843
Bhindi(Okra/Ladysfinger),Rabi,"Pest, Disease & Weed Mgmt",13919
Tomato,Rabi,"Pest, Disease & Weed Mgmt",15004
Sorghum (Jowar/Great Millet),Rabi,Market & Price Information,1107
Turmeric,Rabi,Nutrient & Soil Management,1907
Mango,Rabi,"Pest, Disease & Weed Mgmt",10721
Wheat,Rabi,Market & Price Information,1413
Soybean (bhat),Kharif,"Pest, Disease & Weed Mgmt",64983
