crop,season,count
Soybean (bhat),Rabi,30470
Onion,Rabi,134550
Other Named Crops,Rabi,317398
Cotton (Kapas),Rabi,100748
Turmeric,Rabi,12218
Sugarcane (Noble Cane),Rabi,68209
Cotton (Kapas),Kharif,353380
Other Named Crops,Kharif,211384
Soybean (bhat),Kharif,148739
Pigeon pea (red gram/arhar/tur),Kharif,42650
Maize (Makka),Kharif,21923
Turmeric,Kharif,26555
Chillies,Rabi,38050
Tomato,Rabi,28162
Sorghum (Jowar/Great Millet),Rabi,18425
Bhindi(Okra/Ladysfinger),Rabi,24938
Pomegranate,Rabi,38406
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,100266
Groundnut (pea nut/mung phalli),Rabi,39607
Brinjal,Rabi,41272
Mango,Rabi,19434
Wheat,Rabi,63814
Chillies,Kharif,31035
Maize (Makka),Rabi,25075
Sugarcane (Noble Cane),Kharif,36632
Onion,Kharif,53587
Mango,Kharif,5449
Brinjal,Kharif,22448
Pomegranate,Kharif,27360
Tomato,Kharif,26134
Groundnut (pea nut/mung phalli),Kharif,7160
Pigeon pea (red gram/arhar/tur),Rabi,67824
Watermelon,Rabi,22916
Bhindi(Okra/Ladysfinger),Kharif,12110
Watermelon,Kharif,1083
Sorghum (Jowar/Great Millet),Kharif,8244
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,17125
Chillies,Zaid,17664
Other Named Crops,Zaid,102831
Pigeon pea (red gram/arhar/tur),Zaid,6576
Maize (Makka),Zaid,4417
Sugarcane (Noble Cane),Zaid,29188
Mango,Zaid,7119
Wheat,Kharif,5499
Soybean (bhat),Zaid,20600
Bhindi(Okra/Ladysfinger),Zaid,10828
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,5700
Groundnut (pea nut/mung phalli),Zaid,12898
Brinjal,Zaid,18239
Cotton (Kapas),Zaid,41316
Wheat,Zaid,2053
Turmeric,Zaid,8544
Onion,Zaid,19872
Tomato,Zaid,12131
Pomegranate,Zaid,19508
Watermelon,Zaid,4118
Sorghum (Jowar/Great Millet),Zaid,2121
