crop,season,year,count
Soybean (bhat),Rabi,2023,1021
Onion,Rabi,2023,3380
Other Named Crops,Rabi,2023,6113
Cotton (Kapas),Rabi,2023,1803
Turmeric,Rabi,2023,273
Sugarcane (Noble Cane),Rabi,2023,1913
Cotton (Kapas),Kharif,2023,10484
Other Named Crops,Kharif,2023,4927
Soybean (bhat),Kharif,2023,6556
Pigeon pea (red gram/arhar/tur),Kharif,2023,1634
Maize (Makka),Kharif,2023,768
Turmeric,Kharif,2023,728
Chillies,Rabi,2023,916
Tomato,Rabi,2023,448
Sorghum (Jowar/Great Millet),Rabi,2023,963
Bhindi(Okra/Ladysfinger),Rabi,2023,379
Pomegranate,Rabi,2023,359
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2023,3930
Groundnut (pea nut/mung phalli),Rabi,2023,797
Brinjal,Rabi,2023,571
Mango,Rabi,2023,536
Wheat,Rabi,2023,2490
Chillies,Kharif,2023,943
Maize (Makka),Rabi,2023,1186
Sugarcane (Noble Cane),Kharif,2023,1073
Onion,Kharif,2023,1085
Mango,Kharif,2023,244
Brinjal,Kharif,2023,484
Pomegranate,Kharif,2023,220
Tomato,Kharif,2023,568
Groundnut (pea nut/mung phalli),Kharif,2023,182
Pigeon pea (red gram/arhar/tur),Rabi,2023,1768
Watermelon,Rabi,2023,336
Other Named Crops,Rabi,2022,8193
Chillies,Rabi,2022,948
Watermelon,Rabi,2022,660
Sugarcane (Noble Cane),Rabi,2022,2417
Mango,Rabi,2022,799
Wheat,Rabi,2022,2628
Onion,Rabi,2022,5765
Sorghum (Jowar/Great Millet),Rabi,2022,675
Soybean (bhat),Rabi,2022,2171
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2022,5955
Pigeon pea (red gram/arhar/tur),Rabi,2022,1626
Groundnut (pea nut/mung phalli),Rabi,2022,1154
Pomegranate,Rabi,2022,369
Maize (Makka),Rabi,2022,1415
Cotton (Kapas),Rabi,2022,2131
Maize (Makka),Rabi,2015,2654
Sorghum (Jowar/Great Millet),Rabi,2015,2332
Tomato,Rabi,2015,5748
Sugarcane (Noble Cane),Rabi,2015,10523
Other Named Crops,Rabi,2015,36592
Onion,Rabi,2015,21942
Wheat,Rabi,2015,4609
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2015,11077
Pigeon pea (red gram/arhar/tur),Rabi,2015,9664
Mango,Rabi,2015,2838
Chillies,Rabi,2015,7407
Watermelon,Rabi,2015,3492
Turmeric,Rabi,2015,1597
Brinjal,Rabi,2015,9211
Cotton (Kapas),Rabi,2015,9526
Groundnut (pea nut/mung phalli),Rabi,2015,3777
Pomegranate,Rabi,2015,7300
Bhindi(Okra/Ladysfinger),Rabi,2015,5760
Other Named Crops,Kharif,2019,22142
Groundnut (pea nut/mung phalli),Kharif,2019,611
Pigeon pea (red gram/arhar/tur),Kharif,2019,2809
Turmeric,Kharif,2019,3997
Sugarcane (Noble Cane),Kharif,2019,2342
Onion,Kharif,2019,4418
Cotton (Kapas),Kharif,2019,39185
Soybean (bhat),Kharif,2019,10913
Tomato,Kharif,2019,2512
Brinjal,Kharif,2019,1909
Chillies,Kharif,2019,2740
Maize (Makka),Kharif,2019,4738
Bhindi(Okra/Ladysfinger),Kharif,2019,1250
Watermelon,Kharif,2019,75
Pomegranate,Kharif,2019,1422
Mango,Kharif,2019,585
Wheat,Rabi,2016,6569
Brinjal,Rabi,2016,6907
Sugarcane (Noble Cane),Rabi,2016,7268
Onion,Rabi,2016,20937
Groundnut (pea nut/mung phalli),Rabi,2016,5135
Other Named Crops,Rabi,2016,31381
Chillies,Rabi,2016,5263
Tomato,Rabi,2016,5127
Bhindi(Okra/Ladysfinger),Rabi,2016,4620
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2016,11200
Watermelon,Rabi,2016,2579
Pomegranate,Rabi,2016,6217
Soybean (bhat),Rabi,2016,4175
Turmeric,Rabi,2016,2222
Sorghum (Jowar/Great Millet),Rabi,2016,1920
Bhindi(Okra/Ladysfinger),Kharif,2023,386
Sorghum (Jowar/Great Millet),Kharif,2023,312
Soybean (bhat),Rabi,2015,2461
Maize (Makka),Rabi,2017,2197
Other Named Crops,Rabi,2017,20580
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2017,12922
Chillies,Rabi,2017,3260
Groundnut (pea nut/mung phalli),Rabi,2017,5660
Brinjal,Rabi,2017,3039
Pigeon pea (red gram/arhar/tur),Rabi,2017,6927
Soybean (bhat),Rabi,2017,2730
Cotton (Kapas),Rabi,2017,18870
Bhindi(Okra/Ladysfinger),Rabi,2017,2270
Pomegranate,Rabi,2017,4234
Wheat,Rabi,2017,4669
Sugarcane (Noble Cane),Rabi,2017,8252
Onion,Rabi,2017,10008
Tomato,Rabi,2017,2334
Watermelon,Rabi,2017,1862
Mango,Rabi,2017,1777
Turmeric,Rabi,2017,1277
Sorghum (Jowar/Great Millet),Rabi,2017,1484
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2019,1001
Sorghum (Jowar/Great Millet),Kharif,2019,1150
Onion,Rabi,2018,7499
Other Named Crops,Rabi,2018,13812
Watermelon,Rabi,2018,1312
Wheat,Rabi,2018,2025
Maize (Makka),Rabi,2018,1324
Cotton (Kapas),Rabi,2018,6643
Sugarcane (Noble Cane),Rabi,2018,4561
Sorghum (Jowar/Great Millet),Rabi,2018,829
Tomato,Rabi,2018,1645
Brinjal,Rabi,2018,2254
Chillies,Rabi,2018,2488
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2018,5888
Turmeric,Rabi,2018,857
Soybean (bhat),Rabi,2018,1981
Pigeon pea (red gram/arhar/tur),Rabi,2018,2267
Groundnut (pea nut/mung phalli),Rabi,2018,1387
Pomegranate,Rabi,2018,1411
Mango,Rabi,2018,1047
Cotton (Kapas),Rabi,2016,16881
Pigeon pea (red gram/arhar/tur),Rabi,2016,16649
Mango,Rabi,2016,2728
Maize (Makka),Rabi,2016,2669
Other Named Crops,Kharif,2013,19115
Cotton (Kapas),Kharif,2013,45488
Soybean (bhat),Kharif,2013,19197
Pomegranate,Kharif,2013,5180
Chillies,Kharif,2013,4030
Groundnut (pea nut/mung phalli),Kharif,2013,1052
Mango,Kharif,2013,812
Onion,Kharif,2013,5755
Onion,Rabi,2020,8465
Other Named Crops,Rabi,2020,17016
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2020,8455
Sorghum (Jowar/Great Millet),Rabi,2020,1836
Sugarcane (Noble Cane),Rabi,2020,4221
Chillies,Rabi,2020,2092
Wheat,Rabi,2020,6800
Cotton (Kapas),Rabi,2020,2228
Mango,Rabi,2020,869
Pigeon pea (red gram/arhar/tur),Rabi,2020,2175
Brinjal,Rabi,2020,1987
Soybean (bhat),Rabi,2020,1245
Brinjal,Rabi,2022,739
Turmeric,Rabi,2022,371
Tomato,Rabi,2022,451
Bhindi(Okra/Ladysfinger),Rabi,2020,1453
Bhindi(Okra/Ladysfinger),Rabi,2022,660
Chillies,Zaid,2022,287
Other Named Crops,Zaid,2022,1973
Pigeon pea (red gram/arhar/tur),Zaid,2022,98
Watermelon,Rabi,2020,1486
Maize (Makka),Rabi,2020,3682
Groundnut (pea nut/mung phalli),Rabi,2020,2764
Pomegranate,Rabi,2020,761
Tomato,Rabi,2020,1174
Turmeric,Rabi,2020,501
Maize (Makka),Zaid,2022,151
Sugarcane (Noble Cane),Zaid,2022,632
Mango,Zaid,2022,183
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2023,484
Wheat,Kharif,2023,191
Cotton (Kapas),Kharif,2017,36507
Soybean (bhat),Kharif,2017,9544
Other Named Crops,Kharif,2017,14275
Sugarcane (Noble Cane),Kharif,2017,4244
Pomegranate,Kharif,2017,3099
Pigeon pea (red gram/arhar/tur),Kharif,2017,3721
Bhindi(Okra/Ladysfinger),Kharif,2017,1235
Chillies,Kharif,2017,2686
Maize (Makka),Kharif,2017,1396
Tomato,Kharif,2017,2343
Brinjal,Kharif,2017,2397
Groundnut (pea nut/mung phalli),Kharif,2017,773
Bhindi(Okra/Ladysfinger),Rabi,2018,1499
Turmeric,Kharif,2017,2903
Mango,Kharif,2017,417
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2017,3369
Onion,Kharif,2017,4121
Tomato,Kharif,2013,2876
Wheat,Kharif,2013,685
Sugarcane (Noble Cane),Kharif,2013,6858
Sorghum (Jowar/Great Millet),Kharif,2017,739
Turmeric,Kharif,2013,1555
Bhindi(Okra/Ladysfinger),Kharif,2013,804
Brinjal,Kharif,2013,2308
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2013,1929
Sorghum (Jowar/Great Millet),Kharif,2013,1090
Wheat,Kharif,2017,453
Pigeon pea (red gram/arhar/tur),Kharif,2013,2410
Maize (Makka),Kharif,2013,2702
Watermelon,Kharif,2017,107
Other Named Crops,Kharif,2011,4344
Cotton (Kapas),Kharif,2011,5784
Wheat,Kharif,2011,49
Onion,Kharif,2011,366
Soybean (bhat),Kharif,2011,1389
Pigeon pea (red gram/arhar/tur),Kharif,2011,89
Watermelon,Kharif,2013,102
Other Named Crops,Rabi,2013,62767
Pigeon pea (red gram/arhar/tur),Rabi,2013,5183
Mango,Rabi,2013,2463
Onion,Rabi,2013,12749
Wheat,Rabi,2013,7975
Watermelon,Rabi,2013,3921
Groundnut (pea nut/mung phalli),Rabi,2013,6033
Bhindi(Okra/Ladysfinger),Rabi,2013,1966
Tomato,Rabi,2013,3307
