district,block,count
NASIK,YEOLA,40545
AHMADNAGAR,JAMKHED,18607
JALNA,PARTUR,23963
AMRAVATI,NANDGAON KH,14457
AMRAVATI,AMRAVATI,20023
AKOLA,BALAPUR,22861
NAGPUR,SAONER,10231
LATUR,UDGIR,8921
NAGPUR,NARKHED,15015
AHMADNAGAR,NEVASA,31821
BULDANA,SHEGAON,16439
NANDED,HIMAYATNAGAR,30104
YEVATMAL,PUSAD,38323
YEVATMAL,DARWHA,23211
BULDANA,CHIKHLI,30807
YEVATMAL,NER,12371
AHMADNAGAR,PARNER,17560
KOLHAPUR,PANHALA,9404
NANDED,KINWAT,38962
NASIK,MALEGAON,34892
BULDANA,MOTALA,24246
BULDANA,KHAMGAON,51422
WASHIM,MANGRULPIR,48253
NANDED,LOHA,22615
BULDANA,SINDKHEDRAJA,24563
HINGOLI,SENGAON,35268
BEED,SHIRUR ( KA ),7547
AURANGABAD,KANAND,32947
HINGOLI,HINGOLI,30856
JALGAON,PAROLA,13171
BEED,PATODA,9304
DHULE,SAKRI,21749
AURANGABAD,KHULTABAD,14422
WASHIM,MALEGAON,43588
AURANGABAD,GANGAPUR,43598
CHANDRAPUR,GONDPIPRI,3597
AHMADNAGAR,SHEVGAON,21946
DHULE,DHULE,30198
NASIK,CHANDWAD,36234
JALNA,BHOKARDAN,39496
PARBHANI,PURNA,27950
BULDANA,MALKAPUR,18617
GONDIYA,AMGAON,2464
BEED,GEORAI,42562
NAGPUR,KATOL,11755
YEVATMAL,KALAMB,7053
KOLHAPUR,RADHANAGARI,3638
NANDED,BILOLI,21254
PARBHANI,MANWAT,31359
SANGLI,ATPADI,7507
BULDANA,MEHKAR,23978
JALNA,AMBAD,42253
SOLAPUR,PANDHARPUR,40469
PUNE,AMBEGAON,8223
BHANDARA,BHANDARA,6396
LATUR,NILANGA,23502
AKOLA,TELHARA,23671
YEVATMAL,MAHAGAON,44113
NAGPUR,PARSEONI,6184
AKOLA,PATUR,23229
NANDED,MOKHED,15832
YEVATMAL,MAREGAON,4269
NANDED,MAHUR,18746
JALGAON,MUKTAINAGAR,11051
JALGAON,JALGAON,15220
