district,concern,count
NASIK,Weather & Climate Advisory,115567
AHMADNAGAR,Market & Price Information,16592
JALNA,Weather & Climate Advisory,83108
AMRAVATI,Weather & Climate Advisory,67477
AMRAVATI,Market & Price Information,14146
AKOLA,Weather & Climate Advisory,78163
NAGPUR,Weather & Climate Advisory,36878
LATUR,Weather & Climate Advisory,66155
AHMADNAGAR,"Pest, Disease & Weed Mgmt",90272
BULDANA,Weather & Climate Advisory,159042
NANDED,Market & Price Information,22354
YEVATMAL,Weather & Climate Advisory,119749
BULDANA,Cultural Practices & Mechanization,10892
KOLHAPUR,Weather & Climate Advisory,21168
NANDED,Weather & Climate Advisory,145346
WASHIM,Market & Price Information,16049
WASHIM,Weather & Climate Advisory,108678
BULDANA,Nutrient & Soil Management,25507
AHMADNAGAR,"Govt Schemes, Insurance & Policy",31790
HINGOLI,Weather & Climate Advisory,68974
BEED,Weather & Climate Advisory,80762
AURANGABAD,Market & Price Information,15383
JALGAON,"Govt Schemes, Insurance & Policy",17225
BEED,Market & Price Information,13077
DHULE,Market & Price Information,7305
YEVATMAL,Market & Price Information,15116
AURANGABAD,Weather & Climate Advisory,95609
CHANDRAPUR,Weather & Climate Advisory,24047
DHULE,Weather & Climate Advisory,27489
PARBHANI,Market & Price Information,14605
GONDIYA,Weather & Climate Advisory,7308
BEED,Water Management/Irrigation,1284
WASHIM,Seeds & Varieties,6701
PARBHANI,Weather & Climate Advisory,96843
PARBHANI,Seeds & Varieties,9744
SANGLI,Weather & Climate Advisory,35441
JALGAON,Weather & Climate Advisory,74066
SOLAPUR,Weather & Climate Advisory,111222
PUNE,"Govt Schemes, Insurance & Policy",17170
BHANDARA,Weather & Climate Advisory,13684
LATUR,Market & Price Information,7065
AHMADNAGAR,Weather & Climate Advisory,104506
YEVATMAL,"Pest, Disease & Weed Mgmt",48204
JALGAON,"Pest, Disease & Weed Mgmt",42117
YEVATMAL,Seeds & Varieties,9171
AMRAVATI,Seeds & Varieties,5916
PUNE,Weather & Climate Advisory,36908
OSMANABAD,Weather & Climate Advisory,57711
SANGLI,Seeds & Varieties,4139
WARDHA,Nutrient & Soil Management,7168
WARDHA,Weather & Climate Advisory,26439
AKOLA,Nutrient & Soil Management,16896
SOLAPUR,Nutrient & Soil Management,39370
YEVATMAL,"Govt Schemes, Insurance & Policy",24182
SOLAPUR,Seeds & Varieties,14370
GONDIYA,"Govt Schemes, Insurance & Policy",3413
PUNE,"Pest, Disease & Weed Mgmt",34048
SATARA,"Govt Schemes, Insurance & Policy",12334
AKOLA,Cultural Practices & Mechanization,6283
OSMANABAD,"Pest, Disease & Weed Mgmt",35556
SOLAPUR,Water Management/Irrigation,1533
NASIK,Market & Price Information,18514
OSMANABAD,Nutrient & Soil Management,15519
NAGPUR,Market & Price Information,7405
AKOLA,"Pest, Disease & Weed Mgmt",38209
AURANGABAD,Nutrient & Soil Management,27713
NANDED,"Pest, Disease & Weed Mgmt",65961
SOLAPUR,"Pest, Disease & Weed Mgmt",77542
NASIK,Nutrient & Soil Management,25132
WASHIM,Cultural Practices & Mechanization,6736
BEED,Nutrient & Soil Management,24872
SINDHUDURG,Nutrient & Soil Management,391
NAGPUR,"Govt Schemes, Insurance & Policy",7749
AHMADNAGAR,Nutrient & Soil Management,41997
LATUR,"Pest, Disease & Weed Mgmt",29625
WASHIM,"Pest, Disease & Weed Mgmt",36047
SATARA,Weather & Climate Advisory,19871
