district,crop,count
AHMADNAGAR,Soybean (bhat),5894
AHMADNAGAR,Onion,43077
BULDANA,Other Named Crops,27750
AHMADNAGAR,Other Named Crops,54858
BULDANA,Onion,10423
BEED,Other Named Crops,31553
DHULE,Onion,7406
YEVATMAL,Cotton (Kapas),40530
WASHIM,Turmeric,3376
AHMADNAGAR,Sugarcane (Noble Cane),12497
PARBHANI,Other Named Crops,20939
BEED,Cotton (Kapas),38382
WASHIM,Other Named Crops,18319
PARBHANI,Soybean (bhat),13284
LATUR,Soybean (bhat),13822
JALGAON,Cotton (Kapas),34519
YEVATMAL,Pigeon pea (red gram/arhar/tur),9336
AMRAVATI,Cotton (Kapas),24126
SANGLI,Maize (Makka),1848
YEVATMAL,Turmeric,2875
YEVATMAL,Other Named Crops,19013
AKOLA,Sugarcane (Noble Cane),1181
DHULE,Cotton (Kapas),10609
SOLAPUR,Other Named Crops,53825
AKOLA,Other Named Crops,17370
OSMANABAD,Chillies,3398
AKOLA,Tomato,683
SOLAPUR,Sorghum (Jowar/Great Millet),2507
NASIK,Onion,38142
JALGAON,Other Named Crops,25765
OSMANABAD,Other Named Crops,22826
SOLAPUR,Chillies,6889
AKOLA,Onion,5889
AURANGABAD,Bhindi(Okra/Ladysfinger),2295
WASHIM,Cotton (Kapas),10434
NANDED,Other Named Crops,27742
SOLAPUR,Pomegranate,17583
NASIK,Bhindi(Okra/Ladysfinger),2608
NANDED,Cotton (Kapas),44797
BEED,Bhindi(Okra/Ladysfinger),2531
WASHIM,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),7968
AURANGABAD,Cotton (Kapas),40088
BEED,Sugarcane (Noble Cane),9205
SINDHUDURG,Other Named Crops,1252
SOLAPUR,Sugarcane (Noble Cane),20801
LATUR,Sugarcane (Noble Cane),7009
WASHIM,Onion,2373
JALNA,Sugarcane (Noble Cane),5301
HINGOLI,Groundnut (pea nut/mung phalli),2745
OSMANABAD,Soybean (bhat),8875
HINGOLI,Sugarcane (Noble Cane),2259
WASHIM,Brinjal,2534
PARBHANI,Sugarcane (Noble Cane),5517
SOLAPUR,Cotton (Kapas),4368
PARBHANI,Groundnut (pea nut/mung phalli),3229
JALGAON,Chillies,2947
THANE,Bhindi(Okra/Ladysfinger),850
NASIK,Tomato,15666
AHMADNAGAR,Sorghum (Jowar/Great Millet),1741
BULDANA,Cotton (Kapas),40680
NANDED,Turmeric,10530
AURANGABAD,Onion,16805
AURANGABAD,Pomegranate,4658
YEVATMAL,Soybean (bhat),14515
AURANGABAD,Mango,1336
NANDED,Wheat,3176
PUNE,Onion,11568
SATARA,Other Named Crops,16607
HINGOLI,Soybean (bhat),12042
BEED,Soybean (bhat),8113
NASIK,Cotton (Kapas),7101
PARBHANI,Chillies,3811
WASHIM,Soybean (bhat),20682
RAIGARH,Other Named Crops,1631
BEED,Wheat,3265
AMRAVATI,Other Named Crops,23920
AURANGABAD,Maize (Makka),6462
PUNE,Other Named Crops,28190
AURANGABAD,Other Named Crops,39092
KOLHAPUR,Other Named Crops,14317
KOLHAPUR,Sugarcane (Noble Cane),12175
JALNA,Wheat,4382
JALNA,Cotton (Kapas),44729
SANGLI,Sugarcane (Noble Cane),9366
NANDED,Soybean (bhat),20781
JALNA,Soybean (bhat),9028
GADCHIROLI,Chillies,530
PARBHANI,Cotton (Kapas),38610
AKOLA,Soybean (bhat),11566
JALNA,Other Named Crops,30629
HINGOLI,Chillies,2592
GONDIYA,Other Named Crops,6011
AKOLA,Cotton (Kapas),23553
BULDANA,Maize (Makka),3604
KOLHAPUR,Mango,967
AMRAVATI,Pigeon pea (red gram/arhar/tur),8893
AKOLA,Wheat,2914
DHULE,Other Named Crops,9618
BEED,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),4900
HINGOLI,Turmeric,14615
SATARA,Brinjal,1698
LATUR,Chillies,2713
SOLAPUR,Soybean (bhat),4199
NANDURBAR,Groundnut (pea nut/mung phalli),263
NAGPUR,Other Named Crops,13719
SOLAPUR,Brinjal,7590
PUNE,Groundnut (pea nut/mung phalli),2083
NASIK,Pomegranate,15204
PUNE,Pomegranate,8582
BEED,Brinjal,4258
AHMADNAGAR,Cotton (Kapas),23091
SANGLI,Groundnut (pea nut/mung phalli),1229
AURANGABAD,Soybean (bhat),3327
NAGPUR,Cotton (Kapas),12715
WARDHA,Soybean (bhat),3115
WASHIM,Pigeon pea (red gram/arhar/tur),11404
OSMANABAD,Sugarcane (Noble Cane),7588
BEED,Chillies,5199
WASHIM,Wheat,3407
AHMADNAGAR,Groundnut (pea nut/mung phalli),4218
JALNA,Tomato,2079
BEED,Tomato,2750
SOLAPUR,Groundnut (pea nut/mung phalli),4032
BEED,Onion,9517
AKOLA,Groundnut (pea nut/mung phalli),4098
YEVATMAL,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),9679
LATUR,Maize (Makka),550
AKOLA,Bhindi(Okra/Ladysfinger),1526
HINGOLI,Cotton (Kapas),16766
SANGLI,Brinjal,2452
PUNE,Sugarcane (Noble Cane),7390
NANDED,Brinjal,4476
JALNA,Chillies,7826
BULDANA,Soybean (bhat),20786
SANGLI,Other Named Crops,17848
BHANDARA,Other Named Crops,7543
WASHIM,Watermelon,639
LATUR,Tomato,2123
BULDANA,Groundnut (pea nut/mung phalli),3121
NASIK,Other Named Crops,41064
WASHIM,Mango,596
KOLHAPUR,Tomato,563
SOLAPUR,Onion,20881
JALGAON,Onion,6300
SINDHUDURG,Pigeon pea (red gram/arhar/tur),19
PUNE,Brinjal,3600
HINGOLI,Other Named Crops,14719
AMRAVATI,Wheat,2722
AMRAVATI,Chillies,1920
YEVATMAL,Wheat,3625
CHANDRAPUR,Other Named Crops,8192
NANDED,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),12665
JALNA,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),5089
NANDED,Groundnut (pea nut/mung phalli),3797
BHANDARA,Sugarcane (Noble Cane),475
YEVATMAL,Maize (Makka),492
NANDED,Bhindi(Okra/Ladysfinger),1919
PARBHANI,Watermelon,1855
SANGLI,Pomegranate,4453
JALNA,Onion,4710
SATARA,Sugarcane (Noble Cane),8451
NANDED,Watermelon,1215
NANDED,Sugarcane (Noble Cane),5765
NAGPUR,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),1943
NANDURBAR,Other Named Crops,2376
AHMADNAGAR,Wheat,7630
PUNE,Maize (Makka),1960
AURANGABAD,Chillies,6884
SOLAPUR,Tomato,5329
JALNA,Mango,1263
NANDURBAR,Mango,106
DHULE,Watermelon,844
NANDED,Sorghum (Jowar/Great Millet),2858
WARDHA,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),2815
WARDHA,Pigeon pea (red gram/arhar/tur),2657
AHMADNAGAR,Mango,3182
JALNA,Groundnut (pea nut/mung phalli),1381
KOLHAPUR,Groundnut (pea nut/mung phalli),1613
DHULE,Maize (Makka),1855
WARDHA,Onion,600
NASIK,Mango,1471
KOLHAPUR,Soybean (bhat),2103
SOLAPUR,Maize (Makka),5934
NANDURBAR,Cotton (Kapas),2141
AHMADNAGAR,Maize (Makka),4938
AHMADNAGAR,Watermelon,2531
BEED,Watermelon,1924
NANDURBAR,Onion,856
JALGAON,Maize (Makka),6104
HINGOLI,Sorghum (Jowar/Great Millet),712
BHANDARA,Tomato,242
LATUR,Other Named Crops,17488
HINGOLI,Pigeon pea (red gram/arhar/tur),5534
AKOLA,Mango,478
SOLAPUR,Pigeon pea (red gram/arhar/tur),5879
PUNE,Watermelon,960
OSMANABAD,Onion,9055
AMRAVATI,Sugarcane (Noble Cane),1206
LATUR,Onion,2087
SOLAPUR,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),4535
JALGAON,Groundnut (pea nut/mung phalli),1780
OSMANABAD,Watermelon,1277
