district,year,month,count
NASIK,2023,3,819
AHMADNAGAR,2023,3,779
JALNA,2023,3,476
AMRAVATI,2023,3,489
AKOLA,2023,3,497
NAGPUR,2023,3,373
LATUR,2023,3,565
BULDANA,2023,3,1116
NANDED,2023,3,998
YEVATMAL,2023,3,1039
KOLHAPUR,2023,3,231
WASHIM,2023,3,891
HINGOLI,2023,3,364
BEED,2023,3,627
AURANGABAD,2023,3,616
JALGAON,2023,3,483
DHULE,2023,3,279
CHANDRAPUR,2023,3,153
PARBHANI,2023,3,493
GONDIYA,2023,8,146
BEED,2023,8,1228
NAGPUR,2023,8,420
YEVATMAL,2023,8,1572
WASHIM,2023,8,1185
KOLHAPUR,2023,6,429
NANDED,2023,6,2326
PARBHANI,2023,6,902
WASHIM,2023,6,1123
BULDANA,2023,6,1544
SANGLI,2023,6,396
JALGAON,2023,6,1040
JALNA,2023,6,723
AURANGABAD,2023,6,838
SOLAPUR,2016,3,5161
PUNE,2016,3,2412
BHANDARA,2016,3,479
LATUR,2023,6,721
AKOLA,2023,6,705
YEVATMAL,2023,6,2580
NAGPUR,2023,6,582
AHMADNAGAR,2023,6,853
BEED,2023,6,845
AMRAVATI,2023,6,757
PUNE,2023,6,368
OSMANABAD,2023,6,480
GONDIYA,2023,6,136
WARDHA,2023,6,431
WARDHA,2023,3,196
SOLAPUR,2023,3,745
OSMANABAD,2023,3,291
GONDIYA,2023,3,72
PUNE,2023,3,321
SATARA,2023,3,167
BHANDARA,2023,3,114
SANGLI,2023,3,275
SINDHUDURG,2023,3,23
THANE,2023,3,25
RAIGARH,2023,3,21
JALNA,2023,8,1056
AURANGABAD,2023,8,1036
OSMANABAD,2023,8,601
PARBHANI,2023,8,1173
SATARA,2023,8,185
HINGOLI,2023,8,689
LATUR,2023,8,878
PUNE,2023,8,270
BHANDARA,2023,8,141
JALGAON,2023,8,774
SOLAPUR,2023,8,973
NASIK,2023,8,890
NANDED,2023,8,1711
BULDANA,2023,8,1526
AMRAVATI,2023,8,936
SANGLI,2023,8,321
GADCHIROLI,2023,3,48
AHMADNAGAR,2023,8,979
AKOLA,2023,8,769
GADCHIROLI,2023,8,91
KOLHAPUR,2023,8,210
DHULE,2023,8,301
NANDURBAR,2023,3,39
CHANDRAPUR,2023,8,309
WARDHA,2023,8,298
AMRAVATI,2022,3,649
AURANGABAD,2022,3,666
KOLHAPUR,2022,3,408
