year,month,count
2023,3,13658
2023,8,20794
2023,6,21528
2016,3,60045
2022,3,14070
2015,11,65055
2019,6,59115
2017,12,41522
2018,3,30231
2013,9,33534
2022,11,10903
2020,12,16732
2022,5,8347
2018,11,15880
2017,6,68691
2011,10,1709
2013,2,28597
2020,6,1267
2009,2,3416
2019,8,69832
2010,1,2410
2009,4,4222
2009,10,2067
2015,3,63093
2018,5,22836
2012,10,11350
2008,12,134
2021,2,24329
2010,7,3475
2022,12,14350
2023,12,13633
2021,11,21111
2021,4,10399
2020,11,12145
2023,7,23038
2023,1,12441
2014,7,48430
2016,4,49000
2013,7,34959
2022,10,17953
2022,4,8247
2020,7,26
2021,12,23451
2023,5,9037
2014,9,39912
2009,3,3942
2023,11,13178
2017,1,42110
2012,5,2681
2019,11,44875
2018,4,20657
2014,3,38629
2011,7,2673
2015,2,43907
2015,5,67805
2012,2,1140
2022,7,16930
2015,1,47031
2016,9,73300
2015,8,57337
2013,10,27545
2009,9,7126
2012,6,10709
2019,5,20354
2013,4,38000
2021,1,20006
2023,2,7903
2012,12,26209
2016,10,68179
2023,9,20965
2022,9,16287
2012,11,13585
2018,9,43996
2014,4,48486
2024,4,10219
2024,2,12578
2024,1,9521
2024,3,9161
2023,4,10300
2020,1,48633
2023,10,13874
2019,9,63222
2013,11,35444
2009,8,10565
2014,2,41737
2013,5,43603
2021,6,704
2014,10,40086
2019,2,18416
2022,2,13334
2015,4,65457
2013,8,36148
2017,7,71005
2024,5,10447
2018,2,26763
2018,10,34561
2010,12,2193
2010,6,3895
2016,7,63761
2012,8,8627
2019,7,74862
2020,2,34339
2021,9,25880
2021,3,22921
2013,12,37142
2017,9,61066
2021,8,5950
2020,3,27941
2015,12,63495
2020,8,4941
2017,11,44701
2014,12,50853
2016,11,57038
2010,9,3326
2014,6,31972
2022,6,19757
2014,8,24037
2022,8,18786
2019,3,22859
2014,11,43540
2021,10,24060
2011,11,3307
2016,8,78962
2020,10,14971
2020,9,16620
2017,2,39412
2017,8,68236
2015,6,56609
2018,12,17804
2017,3,43441
2010,5,5038
2012,1,2843
2016,2,56816
2014,1,41669
2013,6,40069
2018,6,57911
2016,5,22884
2012,7,10794
2010,10,3755
2017,5,42291
2013,1,38679
2009,1,2192
2011,5,2815
2011,9,1594
2022,1,22401
2018,7,68060
2017,4,33537
2009,12,2491
2018,1,34094
2015,7,60860
2010,3,5457
2009,6,7135
2010,11,2641
2011,2,1245
2010,2,3891
2019,1,18767
2017,10,56968
2010,4,6167
2007,1,69
2011,3,1176
2011,8,4651
2010,8,4165
2012,9,8556
2016,12,55184
2016,6,47777
2014,5,44094
2018,8,61432
2011,4,1429
2019,12,46611
2012,4,127
2009,7,9475
2011,1,1769
2024,6,27694
2019,10,46557
2013,3,34396
2015,9,65142
2019,4,19694
2011,12,3316
2009,5,5286
2011,6,3289
2016,1,58895
2024,9,24210
2024,7,27864
2015,10,47481
2009,11,3537
2024,10,26379
2024,11,12725
2024,12,17093
2025,1,12065
2024,8,32163
2025,2,14685
2012,3,117
2025,3,15146
2025,4,12370
2025,5,14804
2025,6,30413
2025,7,27411
2021,5,1
