crop,Kharif,Rabi,Zaid
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),17125.0,100266.0,5700.0
Bhindi(Okra/Ladysfinger),12110.0,24938.0,10828.0
Brinjal,22448.0,41272.0,18239.0
Chillies,31035.0,38050.0,17664.0
Cotton (Kapas),353380.0,100748.0,41316.0
Groundnut (pea nut/mung phalli),7160.0,39607.0,12898.0
Maize (Makka),21923.0,25075.0,4417.0
Mango,5449.0,19434.0,7119.0
Onion,53587.0,134550.0,19872.0
Other Named Crops,211384.0,317398.0,102831.0
Pigeon pea (red gram/arhar/tur),42650.0,67824.0,6576.0
Pomegranate,27360.0,38406.0,19508.0
Sorghum (Jowar/Great Millet),8244.0,18425.0,2121.0
Soybean (bhat),148739.0,30470.0,20600.0
Sugarcane (Noble Cane),36632.0,68209.0,29188.0
Tomato,26134.0,28162.0,12131.0
Turmeric,26555.0,12218.0,8544.0
Watermelon,1083.0,22916.0,4118.0
Wheat,5499.0,63814.0,2053.0
