district,Animal Husbandry,Cultural Practices & Mechanization,"Govt Schemes, Insurance & Policy",Market & Price Information,Nutrient & Soil Management,Other Advisory,"Pest, Disease & Weed Mgmt",Seeds & Varieties,Unspecified,Water Management/Irrigation,Weather & Climate Advisory
AHMADNAGAR,879.0,14851.0,31790.0,16592.0,41997.0,2285.0,90272.0,17139.0,49357.0,1767.0,104506.0
AKOLA,200.0,6283.0,11847.0,12494.0,16896.0,791.0,38209.0,6356.0,18081.0,1153.0,78163.0
AMRAVATI,193.0,6086.0,13950.0,14146.0,17440.0,673.0,36233.0,5916.0,20262.0,1148.0,67477.0
AURANGABAD,500.0,9547.0,32490.0,15383.0,27713.0,1296.0,66179.0,11084.0,31936.0,1258.0,95609.0
BEED,535.0,9058.0,21582.0,13077.0,24872.0,1242.0,62002.0,12007.0,26061.0,1284.0,80762.0
BHANDARA,74.0,1165.0,3329.0,656.0,1974.0,205.0,5995.0,889.0,4726.0,197.0,13684.0
BULDANA,407.0,10892.0,23500.0,19930.0,25507.0,1338.0,64974.0,10601.0,31699.0,1876.0,159042.0
CHANDRAPUR,105.0,1932.0,4599.0,2413.0,4576.0,298.0,12432.0,1807.0,5419.0,400.0,24047.0
DHULE,183.0,2918.0,6875.0,7305.0,7522.0,405.0,16177.0,3632.0,8598.0,375.0,27489.0
GADCHIROLI,27.0,386.0,1221.0,274.0,876.0,74.0,2572.0,328.0,1316.0,77.0,4789.0
GONDIYA,39.0,837.0,3413.0,213.0,1334.0,140.0,4446.0,695.0,2373.0,93.0,7308.0
HINGOLI,230.0,5618.0,13913.0,10859.0,15671.0,675.0,38921.0,6604.0,16268.0,879.0,68974.0
JALGAON,380.0,6994.0,17225.0,7514.0,20029.0,825.0,42117.0,8781.0,23637.0,858.0,74066.0
JALNA,432.0,8519.0,20932.0,16426.0,23646.0,1020.0,60728.0,10476.0,26469.0,1189.0,83108.0
KOLHAPUR,223.0,3427.0,9067.0,1374.0,11046.0,564.0,15303.0,3301.0,9248.0,394.0,21168.0
LATUR,311.0,5755.0,13059.0,7065.0,13211.0,849.0,29625.0,6396.0,15231.0,994.0,66155.0
MUMBAI,29.0,256.0,1910.0,251.0,215.0,89.0,526.0,120.0,802.0,20.0,780.0
Mumbai Suburban,2.0,25.0,103.0,8.0,28.0,8.0,45.0,11.0,43.0,4.0,70.0
NAGPUR,196.0,2890.0,7749.0,7405.0,6995.0,530.0,15879.0,3047.0,10183.0,539.0,36878.0
NANDED,423.0,10698.0,25763.0,22354.0,28418.0,1388.0,65961.0,13497.0,29186.0,2225.0,145346.0
NANDURBAR,19.0,666.0,2070.0,551.0,1794.0,93.0,3315.0,957.0,2195.0,89.0,3358.0
NASIK,544.0,9374.0,23180.0,18514.0,25132.0,1568.0,64571.0,9332.0,38301.0,1140.0,115567.0
OSMANABAD,294.0,5961.0,12921.0,6560.0,15519.0,791.0,35556.0,7295.0,17684.0,911.0,57711.0
PALGHAR,3.0,69.0,817.0,42.0,121.0,31.0,290.0,89.0,14.0,9.0,317.0
PARBHANI,321.0,7912.0,19891.0,14605.0,20237.0,1019.0,52977.0,9744.0,23181.0,1331.0,96843.0
PUNE,389.0,5741.0,17170.0,8586.0,16973.0,1006.0,34048.0,6022.0,19013.0,661.0,36908.0
RAIGARH,46.0,271.0,1907.0,121.0,531.0,108.0,1156.0,226.0,946.0,25.0,845.0
RATNAGIRI,32.0,254.0,2451.0,95.0,430.0,84.0,872.0,191.0,876.0,17.0,810.0
SANGLI,173.0,4294.0,11864.0,2838.0,12051.0,568.0,21069.0,4139.0,12870.0,542.0,35441.0
SATARA,269.0,3889.0,12334.0,3363.0,11538.0,588.0,18532.0,3994.0,11589.0,442.0,19871.0
SINDHUDURG,25.0,232.0,2076.0,67.0,391.0,71.0,796.0,200.0,870.0,14.0,655.0
SOLAPUR,598.0,12970.0,30088.0,18053.0,39370.0,1561.0,77542.0,14370.0,30242.0,1533.0,111222.0
THANE,73.0,488.0,2367.0,247.0,868.0,121.0,2386.0,339.0,2021.0,27.0,2720.0
WARDHA,93.0,2335.0,4703.0,4001.0,7168.0,294.0,14366.0,2809.0,7461.0,419.0,26439.0
WASHIM,203.0,6736.0,10747.0,16049.0,14722.0,905.0,36047.0,6701.0,16732.0,1724.0,108678.0
YEVATMAL,230.0,8420.0,24182.0,15116.0,21556.0,985.0,48204.0,9171.0,22421.0,2264.0,119749.0
