district,cotton_share,pest_share
AHMADNAGAR,0.10736704081537761,0.24303579361126443
AKOLA,0.25233014077264254,0.2006006100602185
AMRAVATI,0.2573741985726325,0.19742921906671607
AURANGABAD,0.26464918534949433,0.22587074864758785
BEED,0.27700435187390393,0.24556998122638446
BHANDARA,0.06581278103283826,0.1822520824466468
BULDANA,0.26351758403347736,0.18576419663432123
CHANDRAPUR,0.29478597532293666,0.21424140070310885
DHULE,0.24563556378791387,0.19854195559592042
GADCHIROLI,0.12620320855614972,0.2154103852596315
GONDIYA,0.03443496801705757,0.21281891723708773
HINGOLI,0.18845613443489012,0.2179080912816608
JALGAON,0.3362851687319772,0.20806121743254324
JALNA,0.32586348833990225,0.2400838126865524
KOLHAPUR,0.017846214105608462,0.20372761765293218
LATUR,0.05357094012418283,0.1867306225614714
MUMBAI,0.0374331550802139,0.10524209683873549
Mumbai Suburban,0.041666666666666664,0.12968299711815562
NAGPUR,0.2943150780056479,0.17205361302835595
NANDED,0.27706342579707455,0.19104787999733533
NANDURBAR,0.2417297053178277,0.2194346991460912
NASIK,0.046116378750487075,0.21017632143426762
OSMANABAD,0.07100784157843386,0.2205666147652339
PALGHAR,0.004918032786885246,0.1609322974472808
PARBHANI,0.31715391123633346,0.21356440552928513
PUNE,0.020253164556962026,0.2323825904161292
RAIGARH,0.018926359256710254,0.18699450016175995
RATNAGIRI,0.02301255230125523,0.14267015706806283
SANGLI,0.023422571185318323,0.19904770002550803
SATARA,0.018581776277882954,0.21446840028237799
SINDHUDURG,0.02522935779816514,0.1474893459329257
SOLAPUR,0.024294875716804512,0.2297207220285055
THANE,0.023072795564299767,0.20468388092991335
WARDHA,0.3500458066128092,0.20497089373359206
WASHIM,0.11294163491513683,0.16441498969185017
YEVATMAL,0.3371263163148176,0.17702663993125178
